id,bike_10min,bike_20min,bike_30min,bike_45min,bike_60min,walk_10min,walk_20min,walk_30min,walk_45min,walk_60min
1,1,1,3,5,1,1,1,1,1,1
2,1,3,4,5,1,1,1,1,2,1
3,1,1,4,5,1,1,1,1,1,1
4,3,5,10,10,1,1,1,5,7,1
5,2,7,10,10,1,1,6,6,5,1
6,1,2,4,3,1,1,2,2,2,1
7,1,1,2,3,1,1,1,1,1,1
8,1,3,4,4,1,1,1,1,3,1
9,1,3,4,5,1,1,1,1,4,1
10,2,6,10,10,1,1,2,5,5,1
11,4,8,10,10,1,1,6,10,10,1
12,1,1,3,3,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1
14,1,2,3,3,1,1,1,1,1,1
15,1,1,3,4,1,1,1,1,1,1
16,1,1,2,4,1,1,1,2,1,1
17,1,1,1,1,1,1,1,1,1,1
18,1,2,3,4,1,1,1,1,1,1
19,1,1,3,7,1,1,1,1,1,1
20,3,5,10,10,1,1,1,4,5,1
21,2,3,4,7,1,1,4,4,4,1
22,1,2,3,4,1,1,1,1,2,1
23,1,3,4,4,1,1,1,1,1,1
24,1,1,3,4,1,1,1,1,1,1
25,1,2,3,3,1,1,1,1,3,1
26,1,3,6,6,1,1,1,3,3,1
27,1,1,4,5,1,1,1,1,1,1
28,1,2,3,5,1,1,1,1,1,1
29,1,2,2,2,1,1,1,1,3,1
30,1,4,7,10,1,1,1,1,3,1
31,8,10,10,10,1,4,10,10,10,1
32,1,3,4,4,1,1,1,1,1,1
33,1,1,3,5,1,1,1,1,1,1
34,2,9,10,10,1,1,1,3,6,1
35,1,2,6,7,1,1,1,1,1,1
36,1,2,4,6,1,1,1,1,2,1
37,5,10,10,10,1,1,3,10,10,1
38,7,10,10,10,1,1,5,10,10,1
39,1,1,1,2,1,1,1,1,1,1
40,1,1,2,4,1,1,1,1,1,1
41,1,1,3,4,1,1,1,1,2,1
42,1,1,1,1,1,1,1,1,1,1
43,1,4,6,8,1,2,2,2,3,1
44,1,2,5,10,1,1,1,1,2,1
45,1,3,3,4,1,1,1,2,4,1
46,1,2,5,7,1,1,1,1,1,1
47,1,1,2,2,1,1,1,1,1,1
48,1,3,4,8,1,1,2,3,3,1
49,2,5,6,9,1,1,3,6,5,1
50,1,3,5,4,1,1,1,2,3,1
51,1,2,4,5,1,1,1,1,1,1
52,1,1,2,3,1,1,1,1,1,1
53,2,7,10,10,1,1,1,2,5,1
54,1,2,7,7,1,1,2,2,1,1
55,1,1,2,3,1,1,1,1,1,1
56,10,10,10,10,1,5,10,10,10,1
57,2,3,10,10,1,1,1,4,4,1
58,1,3,3,8,1,1,1,1,3,1
59,1,2,3,3,1,1,1,1,2,1
60,1,2,2,4,1,1,1,2,2,1
61,1,1,1,1,1,1,1,1,1,1
62,3,5,10,10,1,2,6,7,5,1
63,2,9,10,10,1,1,1,2,8,1
64,1,2,6,7,1,1,1,3,2,1
65,1,1,1,2,1,1,1,1,1,1
66,1,3,3,4,1,1,1,1,2,1
67,1,1,2,5,1,1,1,1,1,1
68,2,6,10,10,1,1,1,4,6,1
69,1,1,2,3,1,1,1,1,1,1
70,1,6,8,10,1,1,1,1,3,1
71,1,1,4,6,1,1,1,1,1,1
72,1,2,8,7,1,1,1,1,2,1
73,1,1,2,3,1,1,1,1,1,1
74,1,1,2,2,1,1,1,1,2,1
75,2,3,6,10,1,1,4,4,4,1
76,1,1,2,4,1,1,1,1,1,1
77,2,4,7,9,1,1,3,5,7,1
78,1,1,1,2,1,1,1,1,1,1
79,1,4,6,6,1,1,2,3,2,1
80,3,7,10,9,1,2,4,5,8,1
81,1,3,8,9,1,1,1,2,2,1
82,1,2,5,7,1,1,1,1,2,1
83,1,1,1,2,1,1,1,1,1,1
84,1,2,3,4,1,1,1,1,1,1
85,10,10,10,10,1,2,10,10,10,1
86,1,2,3,6,1,1,1,1,2,1
87,1,2,3,2,1,1,1,1,1,1
88,2,2,3,3,1,1,1,3,3,1
89,1,3,4,7,1,1,1,2,2,1
90,3,9,10,10,1,1,4,6,6,1
91,1,1,1,2,1,1,1,1,1,1
92,1,1,1,1,1,1,1,1,1,1
93,1,1,1,2,1,1,1,1,1,1
94,1,4,6,7,1,1,1,2,5,1
95,1,1,1,2,1,1,1,1,1,1
96,1,1,1,3,1,1,1,1,1,1
97,1,5,8,10,1,1,1,2,3,1
98,3,8,10,10,1,1,2,4,7,1
99,1,2,4,6,1,1,1,1,1,1
100,2,3,4,6,1,1,2,4,3,1
101,1,3,4,7,1,1,1,1,3,1
102,1,8,10,10,1,1,1,1,3,1
103,1,1,1,1,1,1,1,1,1,1
104,1,1,1,1,1,1,1,1,1,1
105,1,1,1,2,1,1,1,1,1,1
106,1,1,1,1,1,1,1,1,1,1
107,3,4,4,5,1,1,5,8,6,1
108,1,1,1,2,1,1,1,1,1,1
109,1,2,4,4,1,1,1,2,2,1
110,2,4,7,10,1,1,3,6,4,1
111,1,3,4,4,1,2,2,2,2,1
112,4,8,9,7,1,3,8,10,10,1
113,1,2,5,5,1,1,1,1,1,1
114,1,3,8,10,1,1,2,3,2,1
115,2,4,6,7,1,1,2,3,3,1
116,6,10,10,10,1,1,7,10,10,1
117,1,3,4,5,1,1,2,3,2,1
118,1,2,3,5,1,1,1,3,2,1
119,1,2,3,5,1,1,2,1,2,1
120,1,6,10,10,1,1,1,1,3,1
121,1,4,6,7,1,1,1,1,2,1
122,2,5,8,10,1,1,1,3,5,1
123,1,2,3,4,1,1,1,1,2,1
124,1,1,2,2,1,1,1,1,1,1
125,10,10,10,10,1,3,10,10,10,1
126,1,2,3,7,1,1,1,1,1,1
127,1,1,2,3,1,1,2,1,1,1
128,1,1,2,6,1,1,1,1,1,1
129,1,3,6,6,1,1,1,1,3,1
130,1,3,9,10,1,1,1,1,1,1
131,1,2,2,3,1,1,1,1,1,1
132,1,1,3,3,1,1,1,1,1,1
133,3,10,10,10,1,1,4,5,5,1
134,1,1,2,2,1,1,1,1,1,1
135,1,1,2,3,1,1,1,1,2,1
136,1,1,2,3,1,1,1,1,1,1
137,1,2,7,9,1,1,1,1,2,1
138,1,1,3,5,1,1,1,1,1,1
139,1,2,4,5,1,1,1,1,2,1
140,3,10,10,10,1,5,6,6,7,1
141,1,1,1,1,1,1,1,1,1,1
142,1,1,1,2,1,1,1,1,1,1
143,1,4,7,6,1,1,1,1,3,1
144,1,2,3,3,1,1,1,2,2,1
145,1,1,1,2,1,1,1,1,1,1
146,1,2,2,3,1,1,2,2,2,1
147,7,10,10,10,1,1,1,10,10,1
148,1,4,6,7,1,1,1,1,2,1
149,1,1,1,2,1,1,1,1,1,1
150,3,10,10,10,1,1,4,7,10,1
151,1,2,3,3,1,1,1,1,1,1
152,1,8,10,10,1,2,3,3,5,1
153,4,8,10,10,1,1,6,10,8,1
154,1,1,2,2,1,1,1,1,1,1
155,2,5,9,10,1,1,3,3,5,1
156,1,1,2,3,1,1,1,1,1,1
157,5,10,10,10,1,1,8,10,10,1
158,1,2,3,4,1,1,1,2,2,1
159,1,1,2,3,1,1,1,1,1,1
160,2,6,7,5,1,3,4,3,4,1
161,1,1,3,3,1,1,1,2,1,1
162,1,4,5,6,1,1,1,2,2,1
163,1,1,1,3,1,1,1,1,1,1
164,4,7,9,10,1,3,5,7,9,1
165,1,3,4,6,1,1,1,1,2,1
166,2,10,10,10,1,1,3,4,8,1
167,1,1,3,4,1,1,1,1,1,1
168,1,4,5,9,1,1,1,1,2,1
169,2,4,9,10,1,1,2,3,5,1
170,3,5,5,4,1,2,6,9,6,1
171,1,1,1,1,1,1,1,1,1,1
172,4,8,10,10,1,1,3,9,9,1
173,4,10,10,10,1,1,1,5,8,1
174,1,2,2,2,1,1,1,1,2,1
175,1,1,1,1,1,1,1,1,1,1
